frame_id,block_id,row,col,importance,motion,initial_mode,final_mode,rule_applied,downgraded_by_budget,final_latency_ms
19,r1c1,1,1,0.43,0.5,fast,fast,low_block_use_fast,False,113.0
19,r1c2,1,2,0.25,0.04,fast,fast,low_block_use_fast,False,113.0
19,r2c0,2,0,0.25,0.32,fast,fast,low_block_use_fast,False,113.0
19,r2c1,2,1,0.05,0.05,skip,skip,unimportant_block_skip,False,113.0
19,r2c2,2,2,0.16,0.04,skip,skip,unimportant_block_skip,False,113.0
20,r0c0,0,0,0.5,0.44,balanced,balanced,medium_block_use_balanced,False,133.0
20,r0c1,0,1,0.81,0.55,accurate,accurate,important_block_use_accurate,False,133.0
20,r0c2,0,2,0.64,0.65,balanced,balanced,medium_block_use_balanced,False,133.0
20,r1c0,1,0,0.36,0.27,fast,fast,low_block_use_fast,False,133.0
20,r1c1,1,1,0.73,0.55,balanced,balanced,medium_block_use_balanced,False,133.0
20,r1c2,1,2,0.27,0.42,fast,fast,low_block_use_fast,False,133.0
20,r2c0,2,0,0.19,0.29,skip,skip,unimportant_block_skip,False,133.0
20,r2c1,2,1,0.52,0.24,balanced,balanced,medium_block_use_balanced,False,133.0
20,r2c2,2,2,0.15,0.24,skip,skip,unimportant_block_skip,False,133.0
21,r0c0,0,0,0.24,0.07,fast,fast,low_block_use_fast,False,151.0
21,r0c1,0,1,0.45,0.52,fast,fast,low_block_use_fast,False,151.0
21,r0c2,0,2,0.02,0.09,skip,skip,unimportant_block_skip,False,151.0
21,r1c0,1,0,0.55,0.51,balanced,balanced,medium_block_use_balanced,False,151.0
21,r1c1,1,1,0.72,0.37,balanced,balanced,medium_block_use_balanced,False,151.0
21,r1c2,1,2,0.55,0.47,balanced,balanced,medium_block_use_balanced,False,151.0
21,r2c0,2,0,0.56,0.47,balanced,balanced,medium_block_use_balanced,False,151.0
21,r2c1,2,1,0.84,0.6,accurate,accurate,important_block_use_accurate,False,151.0
21,r2c2,2,2,0.68,0.5,balanced,balanced,medium_block_use_balanced,False,151.0
22,r0c0,0,0,0.07,0.31,skip,skip,unimportant_block_skip,False,123.0
22,r0c1,0,1,0.38,0.45,fast,fast,low_block_use_fast,False,123.0
22,r0c2,0,2,0.67,0.38,balanced,balanced,medium_block_use_balanced,False,123.0
22,r1c0,1,0,0.33,0.29,fast,fast,low_block_use_fast,False,123.0
22,r1c1,1,1,0.54,0.43,balanced,balanced,medium_block_use_balanced,False,123.0
22,r1c2,1,2,0.9,0.69,accurate,accurate,important_block_use_accurate,False,123.0
22,r2c0,2,0,0.16,0.12,skip,skip,unimportant_block_skip,False,123.0
22,r2c1,2,1,0.33,0.46,fast,fast,low_block_use_fast,False,123.0
22,r2c2,2,2,0.57,0.65,balanced,balanced,medium_block_use_balanced,False,123.0
23,r0c0,0,0,0.49,0.51,fast,fast,low_block_use_fast,False,113.0
23,r0c1,0,1,0.2,0.29,fast,fast,low_block_use_fast,False,113.0
23,r0c2,0,2,0.19,0.28,skip,skip,unimportant_block_skip,False,113.0
23,r1c0,1,0,0.66,0.65,balanced,balanced,medium_block_use_balanced,False,113.0
23,r1c1,1,1,0.26,0.48,fast,fast,low_block_use_fast,False,113.0
23,r1c2,1,2,0.03,0.02,skip,skip,unimportant_block_skip,False,113.0
23,r2c0,2,0,0.95,0.76,accurate,accurate,important_block_use_accurate,False,113.0
23,r2c1,2,1,0.6,0.68,balanced,balanced,medium_block_use_balanced,False,113.0
23,r2c2,2,2,0.49,0.48,fast,fast,low_block_use_fast,False,113.0
24,r0c0,0,0,0.42,0.2,fast,fast,low_block_use_fast,False,123.0
24,r0c1,0,1,0.51,0.53,balanced,balanced,medium_block_use_balanced,False,123.0
24,r0c2,0,2,0.92,0.87,accurate,accurate,important_block_use_accurate,False,123.0
24,r1c0,1,0,0.2,0.22,fast,fast,low_block_use_fast,False,123.0
24,r1c1,1,1,0.26,0.28,fast,fast,low_block_use_fast,False,123.0
24,r1c2,1,2,0.63,0.52,balanced,balanced,medium_block_use_balanced,False,123.0
24,r2c0,2,0,0.03,0.0,skip,skip,unimportant_block_skip,False,123.0
24,r2c1,2,1,0.11,0.05,skip,skip,unimportant_block_skip,False,123.0
24,r2c2,2,2,0.53,0.2,balanced,balanced,medium_block_use_balanced,False,123.0
25,r0c0,0,0,0.32,0.39,fast,fast,low_block_use_fast,False,149.0
25,r0c1,0,1,0.54,0.57,balanced,balanced,medium_block_use_balanced,False,149.0
25,r0c2,0,2,0.33,0.46,fast,fast,low_block_use_fast,False,149.0
25,r1c0,1,0,0.59,0.69,balanced,balanced,medium_block_use_balanced,False,149.0
25,r1c1,1,1,1.0,0.63,accurate,accurate,important_block_use_accurate,False,149.0
25,r1c2,1,2,0.69,0.59,balanced,balanced,medium_block_use_balanced,False,149.0
