frame_id,block_id,row,col,importance,motion,edge,selected_mode,rule_applied,x1,y1,x2,y2
28,r1c0,1,0,0.7229,0.7402,0.7156,detect,high_importance_detect,0,720,1280,1440
28,r1c1,1,1,0.8993,0.7966,0.9433,detect,high_importance_detect,1280,720,2560,1440
28,r1c2,1,2,0.4179,0.6627,0.313,detect,motion_region_detect,2560,720,3840,1440
28,r2c0,2,0,0.0397,0.0,0.0566,skip,default_skip,0,1440,1280,2160
28,r2c1,2,1,0.4883,0.206,0.6092,skip,default_skip,1280,1440,2560,2160
28,r2c2,2,2,0.1032,0.0137,0.1416,skip,default_skip,2560,1440,3840,2160
29,r0c0,0,0,0.1634,0.2294,0.1351,skip,default_skip,0,0,1280,720
29,r0c1,0,1,1.0,1.0,1.0,detect,high_importance_detect,1280,0,2560,720
29,r0c2,0,2,0.0432,0.1439,0.0,skip,default_skip,2560,0,3840,720
29,r1c0,1,0,0.7384,0.6774,0.7646,detect,high_importance_detect,0,720,1280,1440
29,r1c1,1,1,0.9132,0.7728,0.9733,detect,high_importance_detect,1280,720,2560,1440
29,r1c2,1,2,0.381,0.5079,0.3265,detect,motion_region_detect,2560,720,3840,1440
29,r2c0,2,0,0.0701,0.0,0.1001,skip,default_skip,0,1440,1280,2160
29,r2c1,2,1,0.5934,0.1874,0.7674,detect,high_importance_detect,1280,1440,2560,2160
29,r2c2,2,2,0.1512,0.0095,0.2119,skip,default_skip,2560,1440,3840,2160
30,r0c0,0,0,0.2052,0.2583,0.1824,skip,default_skip,0,0,1280,720
30,r0c1,0,1,1.0,1.0,1.0,detect,high_importance_detect,1280,0,2560,720
30,r0c2,0,2,0.1078,0.1963,0.0698,skip,default_skip,2560,0,3840,720
30,r1c0,1,0,0.6964,0.6759,0.7052,detect,high_importance_detect,0,720,1280,1440
30,r1c1,1,1,0.919,0.8172,0.9627,detect,high_importance_detect,1280,720,2560,1440
30,r1c2,1,2,0.4077,0.527,0.3566,detect,motion_region_detect,2560,720,3840,1440
30,r2c0,2,0,0.0,0.0,0.0,skip,default_skip,0,1440,1280,2160
30,r2c1,2,1,0.3773,0.1858,0.4593,skip,default_skip,1280,1440,2560,2160
30,r2c2,2,2,0.0523,0.0112,0.0699,skip,default_skip,2560,1440,3840,2160
31,r0c0,0,0,0.2089,0.2659,0.1845,skip,default_skip,0,0,1280,720
31,r0c1,0,1,1.0,1.0,1.0,detect,high_importance_detect,1280,0,2560,720
31,r0c2,0,2,0.1041,0.2023,0.062,skip,default_skip,2560,0,3840,720
31,r1c0,1,0,0.6764,0.6547,0.6857,detect,high_importance_detect,0,720,1280,1440
31,r1c1,1,1,0.9355,0.8505,0.9719,detect,high_importance_detect,1280,720,2560,1440
31,r1c2,1,2,0.3776,0.463,0.341,detect,motion_region_detect,2560,720,3840,1440
31,r2c0,2,0,0.0,0.0,0.0,skip,default_skip,0,1440,1280,2160
31,r2c1,2,1,0.3818,0.1672,0.4738,skip,default_skip,1280,1440,2560,2160
31,r2c2,2,2,0.0569,0.0051,0.079,skip,default_skip,2560,1440,3840,2160
32,r0c0,0,0,0.2183,0.2847,0.1898,skip,default_skip,0,0,1280,720
32,r0c1,0,1,1.0,1.0,1.0,detect,high_importance_detect,1280,0,2560,720
32,r0c2,0,2,0.1104,0.2004,0.0719,skip,default_skip,2560,0,3840,720
32,r1c0,1,0,0.679,0.6776,0.6797,detect,high_importance_detect,0,720,1280,1440
32,r1c1,1,1,0.9613,0.9094,0.9836,detect,high_importance_detect,1280,720,2560,1440
32,r1c2,1,2,0.3678,0.4579,0.3292,detect,motion_region_detect,2560,720,3840,1440
32,r2c0,2,0,0.0,0.0,0.0,skip,default_skip,0,1440,1280,2160
32,r2c1,2,1,0.3787,0.1759,0.4657,skip,default_skip,1280,1440,2560,2160
32,r2c2,2,2,0.0564,0.008,0.0772,skip,default_skip,2560,1440,3840,2160
33,r0c0,0,0,0.2183,0.2849,0.1897,skip,default_skip,0,0,1280,720
33,r0c1,0,1,0.992,1.0,0.9886,detect,high_importance_detect,1280,0,2560,720
33,r0c2,0,2,0.1116,0.2184,0.0659,skip,default_skip,2560,0,3840,720
33,r1c0,1,0,0.6756,0.6676,0.6791,detect,high_importance_detect,0,720,1280,1440
33,r1c1,1,1,0.972,0.9066,1.0,detect,high_importance_detect,1280,720,2560,1440
33,r1c2,1,2,0.3683,0.4554,0.3309,detect,motion_region_detect,2560,720,3840,1440
33,r2c0,2,0,0.0,0.0,0.0,skip,default_skip,0,1440,1280,2160
33,r2c1,2,1,0.3985,0.1781,0.4929,skip,default_skip,1280,1440,2560,2160
33,r2c2,2,2,0.0668,0.0125,0.0901,skip,default_skip,2560,1440,3840,2160
34,r0c0,0,0,0.2204,0.2793,0.1951,skip,default_skip,0,0,1280,720
34,r0c1,0,1,0.9824,1.0,0.9748,detect,high_importance_detect,1280,0,2560,720
34,r0c2,0,2,0.1108,0.1924,0.0759,skip,default_skip,2560,0,3840,720
34,r1c0,1,0,0.6625,0.6354,0.6742,detect,high_importance_detect,0,720,1280,1440
34,r1c1,1,1,0.9766,0.922,1.0,detect,high_importance_detect,1280,720,2560,1440
34,r1c2,1,2,0.3664,0.4616,0.3256,detect,motion_region_detect,2560,720,3840,1440
34,r2c0,2,0,0.0,0.0,0.0,skip,default_skip,0,1440,1280,2160
34,r2c1,2,1,0.3902,0.1749,0.4825,skip,default_skip,1280,1440,2560,2160
